seed,score
165,0.884156323975282
228,0.8842639184562713
190,0.8888103449032552
61,0.8888957121525269
0,0.8895819138629233
408,0.8910567400343412
387,0.8931009244309465
256,0.8935321988358389
122,0.8939064294107164
313,0.8945188394933503
130,0.8968065995849026
481,0.8983033105851578
48,0.9022471406190447
245,0.9060342441958057
40,0.9069751784446622
332,0.9072340055060727
74,0.908700912855779
251,0.9094702288281096
158,0.9103411273023565
54,0.9106467758701489
347,0.9113627102326567
43,0.9114819668341742
409,0.9126549193934754
464,0.9155118986158758
132,0.9202824345356115
466,0.9223726284196585
96,0.9231361881506663
499,0.9231528692950345
22,0.9247646879863061
152,0.9249358796951997
34,0.9272410748818878
145,0.9275798081617155
66,0.9280077646639182
498,0.9300541641750327
302,0.9303542276373715
421,0.930487589567663
217,0.9323425634098836
248,0.9330987812328426
223,0.9346453615491139
319,0.9362810057281332
428,0.9391723549781956
110,0.9409754244781556
389,0.9441842430680145
174,0.944244099497478
195,0.947637948852451
327,0.9502970677496964
395,0.9515717113499575
35,0.9551785107376285
98,0.9576631086229754
3,0.9633013087282353
381,0.9641980039743736
331,0.9650658775707535
246,0.9659319633109169
272,0.9659919803589345
229,0.9663413229349163
104,0.9688803240085053
203,0.9698804995593745
261,0.9709248487359985
398,0.9714812915490791
476,0.9723646015047727
225,0.9740767390988866
202,0.975145241907
79,0.9753144555212843
458,0.9783378309151376
39,0.9795830378605874
86,0.9803503251362966
205,0.980591207454267
478,0.9812943186125889
71,0.9813179208674743
427,0.9815650623695169
23,0.9829518060669962
452,0.9867243700801168
199,0.9878784748143951
192,0.9880791630472416
106,0.9904026222211728
490,0.9911728771983201
42,0.9913434450634185
335,0.9922936054109533
284,0.992347813097773
447,0.9928895708707952
70,0.9931431466094554
304,0.9939617493976368
255,0.9964546614263674
237,0.9969950062946528
298,0.997090834364957
191,1.001456969465689
136,1.001979180820892
441,1.00256191432628
350,1.0069131694975115
164,1.0090482692677563
135,1.0121594991729521
329,1.0137403407417898
127,1.0151109451945572
47,1.0156913530181118
53,1.0162009905247997
383,1.0168093013285218
24,1.0168864881782935
368,1.0172885471504454
371,1.0174399942998424
160,1.0203706856975001
250,1.0226469154103592
324,1.0258746014872866
385,1.0268162458166794
257,1.02709122034082
50,1.027460846272343
72,1.0304185851369254
333,1.0327750463181529
472,1.0341753431809684
373,1.0342311471130268
365,1.0363636802124092
226,1.0364831533150092
65,1.0372782625359758
446,1.0387198825347865
388,1.0389941723231118
141,1.0398141469346782
59,1.0401349028350408
206,1.0406253413362854
418,1.0428937827627933
457,1.0448709124973334
171,1.0452423741069459
483,1.046437579697297
198,1.046509469955273
17,1.047061617760712
102,1.0475947056725312
19,1.0480543440272485
220,1.0532503370436823
258,1.0536037957979694
454,1.0583201992519857
180,1.0594545032469913
182,1.059710755847907
232,1.0597967654490013
209,1.060307024054316
362,1.0625374245953059
413,1.0661203902160108
9,1.0661438114034631
451,1.0675879958612662
278,1.0680880821067502
376,1.0681213658609516
443,1.0703548091583706
46,1.0709472743804125
175,1.071468445684141
20,1.0721809717807216
162,1.0730333156995633
396,1.0736904208499884
234,1.0744555300884395
167,1.074559465347937
494,1.074643857774071
330,1.0749597925562226
197,1.0761892835985831
425,1.0764523829806578
448,1.0773780447584775
265,1.0840952991271418
493,1.0869116670163703
406,1.0886697232276186
343,1.0921019896785178
434,1.0922895822099126
233,1.0925975546410827
264,1.093529113197088
14,1.0989779864804838
238,1.1008542818413254
360,1.1044820589371827
176,1.1065936799588743
123,1.1094500453652112
128,1.113228142937574
187,1.1140960599932863
361,1.1151529360533217
346,1.118873824482352
161,1.1249152720776199
