seed,score
137,1.0254988530419997
264,1.0303524124923824
251,1.031116444922257
169,1.0316005086839128
150,1.0323023524699388
290,1.0453785272966771
104,1.045575485922069
310,1.0459859852798707
211,1.0467041554775276
45,1.0474319823735445
304,1.0488525453593014
253,1.0492715982825056
78,1.0513852152895584
181,1.0522190230818458
355,1.0536240590931212
254,1.0537236032754254
335,1.0538045434809293
14,1.0539427080237418
471,1.0565198070668025
102,1.0566033044782857
481,1.0571824041635438
451,1.0591806912937325
389,1.0594651134475694
51,1.0613765498108478
480,1.0624401041652964
337,1.062521278433126
425,1.0643711636704754
359,1.064471611290839
173,1.0654026530095604
244,1.0657724125800558
242,1.0665763866751705
212,1.0729610412036492
199,1.0745519704830295
149,1.074981826437931
366,1.0780345555358288
197,1.0807901389053276
285,1.081146279178338
399,1.0824009773017185
73,1.0827220285766892
418,1.0842987953866992
298,1.084333800756609
167,1.0869673040859542
493,1.0907452202649441
77,1.090937146418818
90,1.0991269252771527
174,1.1000231224602521
248,1.1049477025004057
80,1.106268644141537
103,1.10709359008079
379,1.1076327932628447
407,1.1086372777295583
93,1.1088021198651612
196,1.1089109921182856
449,1.111252804254722
193,1.1117443545696837
172,1.1130413706202351
238,1.1134080058345717
313,1.118369946925562
308,1.119020562591234
311,1.1214982867795007
41,1.121697610061239
156,1.121851106694634
94,1.1237023592645197
46,1.1267243667451328
84,1.1284950134357337
434,1.129131935710121
274,1.1301941750393425
218,1.130206855873805
127,1.1320172614225663
132,1.1323974020265388
357,1.132826996718876
10,1.1371908037330734
492,1.1383189798595486
38,1.1412229826343685
21,1.141776926581274
198,1.1429140731644771
345,1.143105617704046
496,1.1439669398964591
474,1.1477831295397658
277,1.1484858912626081
279,1.153055815470163
476,1.1540487513205597
205,1.1547819247511208
378,1.1605490525725157
72,1.1633971679970898
139,1.1641102233992184
67,1.1651124425748396
229,1.16616984259588
203,1.1664554954016038
48,1.1710242767607824
472,1.1714074241965957
13,1.1718826390587538
283,1.1719519879955111
118,1.1751146584298826
210,1.1796475562196707
11,1.1798656965102166
368,1.1849912610411932
1,1.188273075106412
0,1.1894414636183108
58,1.1905159199203947
241,1.192323096366873
358,1.1937326009652682
70,1.1944498502562217
416,1.196713388654366
136,1.2038748592316433
235,1.207418026349821
164,1.2086951520670874
448,1.208941943249914
439,1.20898964902706
365,1.209591335847327
319,1.209594381956226
4,1.2101677605063927
413,1.2107828472907154
20,1.2124373921524787
215,1.2125081877868518
204,1.2135086019384285
166,1.2144155692981422
112,1.2162291282115352
170,1.216552574170513
101,1.2166922801514968
28,1.2168547446224194
409,1.217950883558431
400,1.2193184957128391
142,1.2210721606435997
61,1.223311548506727
239,1.22673288408008
392,1.226756804147324
267,1.2269723742345138
329,1.2283040973838681
232,1.2288624703997404
79,1.2329391561898628
495,1.2349684596686874
262,1.236031847303867
126,1.23699540062817
346,1.239217087733372
188,1.2402370558755584
237,1.2414694261757913
305,1.2418071184404904
405,1.2424404452203417
